Date,Cases
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,2
3/16/2020,2
3/17/2020,3
3/18/2020,4
3/19/2020,7
3/20/2020,21
3/21/2020,22
3/22/2020,22
3/23/2020,22
3/24/2020,79
3/25/2020,98
3/26/2020,119
3/27/2020,137
3/28/2020,160
3/29/2020,179
3/30/2020,200
3/31/2020,206
4/1/2020,244
4/2/2020,305
4/3/2020,351
4/4/2020,430
4/5/2020,460
4/6/2020,484
4/7/2020,502
4/8/2020,554
4/9/2020,597
4/10/2020,642
4/11/2020,690
4/12/2020,744
4/13/2020,774
4/14/2020,856
4/15/2020,900
4/16/2020,977
4/17/2020,1029
4/18/2020,1074
4/19/2020,1092
4/20/2020,1108
4/21/2020,1174
4/22/2020,1233
4/23/2020,1263
4/24/2020,1312
4/25/2020,1379
4/26/2020,1396
4/27/2020,1412
4/28/2020,1464
4/29/2020,1539
4/30/2020,1591
5/1/2020,1654
5/2/2020,1683
5/3/2020,1714
5/4/2020,1756
5/5/2020,1816
5/6/2020,1876
5/7/2020,1946
5/8/2020,2002
5/9/2020,2071
5/10/2020,2095
5/11/2020,2127
5/12/2020,2171
5/13/2020,2235
5/14/2020,2288
5/15/2020,2345
5/16/2020,2381
5/17/2020,2425
5/18/2020,2459
5/19/2020,2537
5/20/2020,2595
5/21/2020,2644
5/22/2020,2712
5/23/2020,2761
5/24/2020,2788
5/25/2020,2847
5/26/2020,2933
5/27/2020,2984
5/28/2020,3057
5/29/2020,3124
5/30/2020,3186
5/31/2020,3232
6/1/2020,3272
6/2/2020,3360
6/3/2020,3433
6/4/2020,3501
6/5/2020,3562
6/6/2020,3616
6/7/2020,3662
6/8/2020,3697
6/9/2020,3815
6/10/2020,3976
6/11/2020,4109
6/12/2020,4238
6/13/2020,4314
6/14/2020,4461
6/15/2020,4545
6/16/2020,4664
6/17/2020,4771
6/18/2020,4991
6/19/2020,4991
6/20/2020,5286
6/21/2020,5704
6/22/2020,6210
6/23/2020,6339
6/24/2020,6596
6/25/2020,6914
6/26/2020,7097
6/27/2020,7097
6/28/2020,7825
6/29/2020,8461
6/30/2020,8969
7/1/2020,9527
7/2/2020,10124
7/3/2020,10695
7/4/2020,11009
7/5/2020,11131
7/6/2020,11679
7/7/2020,11926
7/8/2020,12408
7/9/2020,13161
7/10/2020,13864
7/11/2020,14304
7/12/2020,14622
7/13/2020,14788
7/14/2020,15445
7/15/2020,15998
7/16/2020,16570
7/17/2020,16983
7/18/2020,17215
7/19/2020,17454
7/20/2020,17646
7/21/2020,17791
7/22/2020,18394
7/23/2020,18696
7/24/2020,18939
7/25/2020,19177
7/26/2020,19401
7/27/2020,19480
7/28/2020,19720
7/29/2020,19952
7/30/2020,20187
7/31/2020,20465
8/1/2020,20745
8/2/2020,20967
8/3/2020,21214
8/4/2020,21549
8/5/2020,21822
8/6/2020,22024
8/7/2020,22256
8/8/2020,22480
8/9/2020,22602
8/10/2020,22724
8/11/2020,22953
8/12/2020,23249
8/13/2020,23421
8/14/2020,23718
8/15/2020,23870
8/16/2020,24008
8/17/2020,24144
8/18/2020,24409
8/19/2020,24759
8/20/2020,25062
8/21/2020,25353
8/22/2020,25559
8/23/2020,25640
8/24/2020,25736
8/25/2020,25890
8/26/2020,26017
8/27/2020,26117
8/28/2020,26239
8/29/2020,26307
8/30/2020,26316
8/31/2020,26434
9/1/2020,26516
9/2/2020,26523
9/3/2020,26622
9/4/2020,26726
9/5/2020,26854
9/6/2020,26931
9/7/2020,26969
9/8/2020,27038
9/9/2020,27124
9/10/2020,27206
9/11/2020,27424
9/12/2020,27525
9/13/2020,27578
9/14/2020,27701
9/15/2020,27776
9/16/2020,27961
9/17/2020,28103
9/18/2020,28212
9/19/2020,28375
9/20/2020,28438
9/21/2020,28441
9/22/2020,28596
9/23/2020,28643
9/24/2020,28745
9/25/2020,28904
9/26/2020,29073
9/27/2020,29130
9/28/2020,29252
9/29/2020,29343
9/30/2020,29421
10/1/2020,29514
10/2/2020,29576
10/3/2020,29647
10/4/2020,29750
10/5/2020,29799
10/6/2020,29857
10/7/2020,29952
