"","census_geoid_start","year","month","census_geoid_end","trips","daily"
"1","48021950300","2020","1","48021950300",3,0.0967741935483871
"2","48021950400","2020","1","48021950400",3,0.0967741935483871
"3","48021950801","2019","4","48021950801",1,0.032258064516129
"4","48021950801","2020","1","48021950801",3,0.0967741935483871
"5","48021950802","2019","8","48021950802",5,0.161290322580645
"6","48055960101","2018","12","48055960101",1,0.032258064516129
"7","48055960101","2019","10","48453001100",1,0.032258064516129
"8","48055960101","2020","3","48055960101",3,0.0967741935483871
"9","48209010303","2019","11","48453001100",1,0.032258064516129
"10","48209010304","2019","10","48209010304",2,0.0645161290322581
"11","48209010702","2019","7","48453001305",1,0.032258064516129
"12","48209010806","2019","9","48453001000",2,0.0645161290322581
"13","48209010809","2019","2","48209010809",1,0.0357142857142857
"14","48209010809","2020","1","48209010809",1,0.032258064516129
"15","48209010901","2018","12","48453001305",1,0.032258064516129
"16","48209010901","2019","11","48453000604",1,0.032258064516129
"17","48209010901","2019","6","48453001305",1,0.032258064516129
"18","48209010901","2020","3","48209010901",2,0.0645161290322581
"19","48209010902","2019","10","48209010902",2,0.0645161290322581
"20","48209010902","2019","7","48453001305",2,0.0645161290322581
"21","48209010902","2019","8","48209010902",2,0.0645161290322581
"22","48209010902","2020","1","48209010909",1,0.032258064516129
"23","48209010906","2019","11","48209010906",1,0.032258064516129
"24","48209010906","2019","9","48209010906",1,0.032258064516129
"25","48209010906","2020","8","48209010906",2,0.0645161290322581
"26","48209010906","2020","9","48209010906",2,0.0645161290322581
"27","48209010907","2018","10","48453000603",1,0.032258064516129
"28","48209010907","2019","12","48453000604",1,0.032258064516129
"29","48209010907","2020","9","48209010907",1,0.032258064516129
"30","48209010907","2020","9","48453002419",1,0.032258064516129
"31","48209010908","2018","11","48209010908",1,0.032258064516129
"32","48209010908","2019","11","48209010908",7,0.225806451612903
"33","48209010908","2019","6","48453001305",1,0.032258064516129
"34","48209010909","2019","10","48209010909",1,0.032258064516129
"35","48209010909","2019","10","48209010910",2,0.0645161290322581
"36","48209010909","2019","11","48209010909",2,0.0645161290322581
"37","48209010909","2019","11","48209010910",10,0.32258064516129
"38","48209010909","2019","12","48209010909",1,0.032258064516129
"39","48209010909","2019","12","48209010910",10,0.32258064516129
"40","48209010909","2020","1","48209010902",1,0.032258064516129
"41","48209010909","2020","1","48209010909",1,0.032258064516129
"42","48209010909","2020","1","48209010910",16,0.516129032258065
"43","48209010909","2020","2","48209010909",8,0.275862068965517
"44","48209010909","2020","2","48209010910",8,0.275862068965517
"45","48209010909","2020","3","48209010909",2,0.0645161290322581
"46","48209010909","2020","3","48209010910",4,0.129032258064516
"47","48209010910","2019","10","48209010909",3,0.0967741935483871
"48","48209010910","2019","11","48209010909",11,0.354838709677419
"49","48209010910","2019","11","48209010910",1,0.032258064516129
"50","48209010910","2019","12","48209010909",12,0.387096774193548
"51","48209010910","2019","12","48209010910",1,0.032258064516129
"52","48209010910","2019","12","48453001100",1,0.032258064516129
"53","48209010910","2020","1","48209010909",6,0.193548387096774
"54","48209010910","2020","1","48209010910",12,0.387096774193548
"55","48209010910","2020","2","48209010909",2,0.0689655172413793
"56","48209010910","2020","2","48209010910",5,0.172413793103448
"57","48209010910","2020","3","48209010909",1,0.032258064516129
"58","48209010910","2020","3","48209010910",3,0.0967741935483871
"59","48453000101","2018","10","48453000101",82,2.64516129032258
"60","48453000101","2018","10","48453000102",2,0.0645161290322581
